idgeral,idpedido,idproduto,codprod,produto,material,cor,impressao,tipo_impressao,quant,preco,layout,amostra,imagem,layout_enviado,poster
7149,8939,463,,PASTA COM CARREGADOR,NYLON,PRETA,1XO,0,30,297,0,1,,,
7151,8941,1525,,Squeeze Em Vidro E AÃ§o Inox 520 Ml,vidro e neoprene,preta,1xo,1,150,27,1,2,,,
7152,8942,862,,Guarda-Chuva ,guarda chuva,verde,1xi,1,20,75,3,2,,,
7153,8943,1335,,Mochila Para Notebook. Sistema Anti-roubo,NYLON,AZUL E PRETO,4XO,4,15,130,0,1,,,
7154,8943,463,,KIT CHURRASCO,DIVERSOS,PRETO E MADEIRA,SERIGRAFIA E LASER,0,55,130,0,1,,,
7155,8943,463,,FONE,METAL E PLASTICO,PRETO,4X,0,30,70,0,1,,,
7156,8944,463,,01228P-AZ2- Necessaire,PVC ImpermeÃ¡vel com Plaquinha,AZUL 2   ,1x0,2,160,21.5,1,1,,,
7157,8945,463,,NECESSAIRE,NYLON ,PRETA,1XO,1,500,45,3,1,,,
7158,8945,463,,GARRAFA TERMICA,INOX,PRETA E PRATA,1XO,2,1000,50,3,1,,,
7159,8947,463,,KIT ESCOLAR  6 ANOS +,DIVERSOS,DIVERSAS,SEM,0,500,150,3,1,,,
7160,8947,463,,KIT ESCOLAR 3 A 6 ANOS,DIVERSOS,DIVERSOS,SEM,0,300,160,3,1,,,
7161,8947,463,,KIT ESCOLAR  0 A 2,DIVERSOS,DIVERSOS,SEM,0,200,145,3,1,,,
7162,8947,463,,MOCHILA,NYLON,PRETA,4XO,4,50,100,3,1,,,
7163,8948,1196,,Caneca CerÃ¢mica ,CERAMICA,PRETA,1XO,1,100,24,3,2,,,
7164,8947,463,,mochila verde,nylon,verde,4x0,4,15,75,3,1,,,
7165,8947,463,,impressÃ£o mochilas,dtf,4xo,4x0,4,1000,5,3,1,,,
7166,8951,463,,NECESSAIRE,NYLON,CINZA,4X0,4,75,40.73,0,2,,,
7168,8953,1358,,MOCHILA ANTI-FURTO,NYLON,CINZA E AZUL,1XO,2,10,140,3,2,,,
7170,8955,463,,kit Junino,diversos,diversas,offset,0,450,8.5,3,2,,,
7171,8956,897,,ECOBAG ALGODÃO,ALGODAO,CRUA,3X0,1,50,15,3,2,,,
7172,8958,463,,Garraga tÃ©rmica,inox,PRETO,1x0,2,49,37,3,2,,,
7173,8959,463,,kit churrasco,diversos,preto e madeira,laser e dtf,0,32,130,3,2,,,
7175,8961,463,,garrafa termica visor ,metal,preta,1x0,2,50,29.9,3,2,,,
7176,8964,1629,,Bolsa TÃ©rmica Em Nylon,Nylon,Verde - 119,1x0,1,80,69,3,2,,,
7177,8965,45,,Caneca Inox 180 Ml,inox,,1x0,2,150,18,3,2,,,
7178,8965,1933,,Sacola De TNT,TNT,PRETO,1x0,1,150,7.5,3,2,,,
7179,8966,45,,Caneca Inox 180 Ml,inox,prata,1x0,2,50,16,3,2,,,
7180,8967,897,,ECOBAG ALGODÃO,ALGODAO,CRUA,1X1,1,2000,15,3,2,,,
7181,8967,463,,SQUEEZE PLASTICO 700ML,PLASTICO,LILAS,1X0,1,641,20,3,2,,,
7182,8967,741,,Cooler TÃ©rmico 10 LATAS,PLASTICO,BRANCA,1X1,0,100,55,1,1,,,
7183,8967,463,,SQUEEZE PLASTICO,PLASTICO,TRANASPARENTE E TAMPA ROXA,1XO,1,400,14,3,2,,,
7184,8967,463,,CADERNO ,PAPEL CROMATO,PRETO,1X0,1,150,30,3,1,,,
7185,8967,463,,SACOLA TERMICA,TNT ,PRETA,1XO,1,600,17,3,2,,,
7186,8967,463,,CHAVEIRO ABRIDOR,METAL,ROXA,1XO,2,1200,2.4,3,2,,,
7187,8968,463,,caderno,plastico,fume,uv 4xo,0,100,14,1,1,,,
7188,8969,463,,squeeze termico sumerx,metal,preta,1x0,2,50,32,0,2,,,
7189,8969,463,,porta cartao em couro e metal,couro,preto,1xo,2,50,13,0,2,,,
7190,8969,463,,caderno,papel,verde,uv,0,50,20,0,2,,,
7191,8969,463,,lapis borracha ,madeira e borracha,diversos,1xo,0,300,3.9,0,2,,,
7192,8969,463,,kit costura,plastico,cinza,1xo,0,100,7.5,0,2,,,
7193,8969,463,,chaveiro abridor,metal,prata,1xo,2,300,2.9,0,2,,,
7194,8970,45,,Caneca Inox 180 Ml,METAL ,INOX,1XO,2,150,15,1,2,,,
7195,8970,406,,Chaveiro Metal,METAL,PRATA,1XO,2,1020,6,1,2,,,
7196,8971,463,,Squeeze tÃ©rmico,inoxo,Preto,1x0,2,70,32,3,2,,,
7197,8972,463,,garrafa termica,metal,grafite,1xo,2,600,39,0,2,,,
7198,8973,463,,KIT MANICURE,COURINO,PRETO,1X0,0,170,11.7,0,2,,,
7199,8975,1942,,Copo Inox Parede Dupla 320ml,Inox,PRETO,1x0,2,7,45,1,2,,,
7200,8975,1942,,Copo Inox Parede Dupla 320ml,Inox,BRANCO,1x0,2,7,45,1,2,,,
7201,8975,1942,,Copo Inox Parede Dupla 320ml,Inox,Inox,1x0,2,16,45,1,2,,,
7202,8975,1645,,Anti-estresse,PU,VERMELHA,1x0,1,50,10.6,1,2,,,
7203,8977,45,,Caneca Inox 180 Ml,METAL,PRATA,1XO,2,20,17,3,1,,,
7204,8978,1358,,MOCHILA ANTI-FURTO,nylon,azul e cinza,4xo,4,15,130,3,2,,,
7205,8978,463,,fone de ouvido,plastico e metal,preto,4x0,4,25,70,3,2,,,
7206,8979,1877,,Suporte RetrÃ¡til Para Celular E Tablet,,nÃ£o sei,1x0,1,50,27.5,0,2,,,
7207,8979,1415,,Fone De Ouvido  Bluetooth.,,nÃ£o sei,1x0,1,50,125,0,2,,,
7208,8980,862,,Guarda-Chuva ,nylon,verde,1x1,1,16,75,3,2,,,
7209,8981,1922,, Copo TÃ©rmico 500ml Com Abridor,METAL,PRETA,1X0,2,100,35,1,2,,,
7210,8984,463,,mochila premium,nylon,preta,1xo,4,45,317,1,1,,,
7211,8985,1018,,Mala De Viagem Bordo,abs,verde,2xo,4,238,280,0,1,,,
7213,8989,463,,10342B - Escova com Espelho,PlÃ¡stico,CREME,1x0,1,900,8.5,0,2,,,
7214,8989,463,,05067 Caderneta ,Emborrachada,AZUL ,1x1,4,100,25.9,0,1,,,
7215,8989,463,,05067 Caderneta,Emborrachada,BEGE,1x1,4,900,25.9,0,1,,,
7216,8989,463,,15125 NÃ©cessaire em AlgodÃ£o,AlgodÃ£o,BEGE,1x0,1,150,19,0,2,,,
7217,8989,463,,04399 Sacola de AlgodÃ£o,AlgodÃ£o,Bege,1x1,1,900,15,0,1,,,
7218,8989,1855,, Squeeze Em Vidro  ,Vidro,BRANCO,1x0,1,900,39,0,2,,,
7219,8990,1018,,Mala De Viagem Bordo,ABS,VERDE E LARANJA,1X0,4,50,284,3,2,,,
7220,8990,463,,EMBALAGEM DE MALA,TNT,PRETO,1X0,1,50,13,3,2,,,
7221,8991,463,,FONE BLUETOOTH,PLASTICO,PRETO,SEM,0,20,60,0,2,,,
7222,8991,463,,SOMBRINHA,NYLON,DIVERSAS,1X0,1,20,40,3,2,,,
7223,8991,1028,,Guarda-chuva Cabo Madeira,NYLON,DIVERASAS,1X0,1,20,45,3,2,,,
