idgeral,idpedido,idproduto,codprod,produto,material,cor,impressao,tipo_impressao,quant,preco,layout,amostra,imagem,layout_enviado,poster
5756,7642,463,,bolsa de bebe,nylon,verde,2xo,1,100,40.5,3,2,,,
5757,7644,463,,GAURDA CHUVA 12 VARETAS,NYLON,PRETA,1X1,1,20,52,0,2,,,
5758,7645,1028,,Guarda-chuva Cabo Madeira,NYLON,12 TRANSPARENTE /14 AZUL MARINHO/4 AZUL TURQUESA/1,1X0,1,50,35,3,2,,,
5759,7646,1018,,Mala De Viagem Bordo,ABS,3 PRETAS E 3 ROSES,SEM,0,6,250,0,2,,,
5760,7647,463,,montagem kits,diversos,kraft,sem,0,1950,8.5,3,2,,,
5761,7648,952,,Copo Com Canudo,plastico,verde ,1xo,1,200,5.75,1,2,,,
5762,7649,463,,Porta cartÃµes - 08848 - XBZ,MEtal - courino,preto,1x0,2,100,22,3,2,,,
5763,7650,807,,MOCHILA -SACO NYLON,NYLON - Spot - 92910,Verde - 109 ,SEM,4,175,7.5,3,2,,,
5764,7655,463,,Embalagem,Brindes,,sem,4,61,30.33,1,2,,,
5765,7657,463,,relogio Londres,plastico e metal,preto,sem,0,200,381,0,2,,,
5766,7657,463,,churrasqueira,metal,preta,sem,0,100,140,0,2,,,
5767,7657,463,,grill,metal,preta,sem,0,200,350,0,2,,,
5768,7658,222,,Touca RN,malha,branca,3xo,1,400,4.8,3,2,,,
5769,7659,1241,,Mochila Para Notebook Em Nylon,nylon,preta,sem,0,28,89,3,2,,,
5770,7661,463,,KIT DE LIXA DE UNHA,LIXA,BRANCA,1XO,1,100,4.5,3,2,,,
5771,7662,463,,kit dia da mulher,diversos,amarela e branca,1xo em todos os produtos,1,100,35,1,2,,,
5772,7663,463,,MARMITA - 93857 spot,plÃ¡stico,preto,1x0,1,50,18,3,2,,,
5773,7664,1247,,Conjunto De Roller E EsferogrÃ¡fica,metal,CINZA,1x0,2,50,37.5,3,2,,,
5774,7665,1317,,Fone Bluetooth Com Case Carregador,plastico,branca,1xo,1,100,45,1,2,,,
5775,7666,463,,montagem dos kits,diversos,kraft,sem,0,550,7.5,0,2,,,
5776,7667,1272,,Identificador De Bagagem,,PRETO,1x0,1,20,5,3,2,,,
5777,7668,463,,canudo com embalagem,metal e papel,prata e kraft,laser e silk,2,40500,2.35,3,1,,,
5778,7669,943,,BOLSA GESTANTE,NYLON,VERDE E BRANCA,2XO,1,200,45,3,2,,,
5779,7669,210,,Toalha Banho Com Capuz,TOALHA,BRANCA COM VERDE,2XO,1,200,13,3,2,,,
5780,7669,220,,Babeiro,TOALHA,BRANCO COM VIES VERDE,2XO,1,200,7,3,2,,,
5781,7670,463,,BE 330,METAL,ROSA/AZUL/LARANJA /PRETO /PRATA,LASER,0,50,20,1,2,,,
5782,7670,463,,BATERIA/CARREGADOR,PLASTICO ,PRETA,1XO,1,20,45,1,2,,,
5783,7670,1278,,Caixa De Som Bluetooth PortÃ¡til,METAL E PLASTICO,PRETA,SEM,0,30,50,0,2,,,
5784,7671,463,,Necessaire PlÃ¡stica - 02092 XBZ,PlÃ¡stico,detalhe rosa,1x0,1,50,9.5,3,2,,,
5785,7675,463,,Suporte para celular,,AZUL  ,1x0,1,3750,2.5,3,1,,,
5786,7675,463,,Suporte para celular,,PRETO,1x0,1,3750,2.5,3,1,,,
5787,7676,1366,,Porta CartÃµes. PU,COURINO,AZUL,1XO,1,30,18,0,2,,,
5788,7676,1253,, Suporte Para Celular,PLASTICO,AZUL MARINHO,1XO,1,300,4,0,1,,,
5789,7676,1317,,Fone Bluetooth Com Case Carregador,PLASTICO,BRANCA,UV,0,30,70,0,1,,,
5790,7676,1179,,Garrafa,PLASTICO,FUME,1XO,0,30,35,0,1,,,
5791,7676,1337,,Copo Para Viagem,FIBRA DE BAMBU,KRAFT,1XO,0,30,12,0,1,,,
5792,7676,1335,,Mochila Para Notebook. Sistema Anti-roubo,NYLON,PRETA,APLICAÃAO ,0,28,120,0,1,,,
5793,7676,1278,,Caixa De Som Bluetooth PortÃ¡til,PLASTICO E METAL,PRETA,1XO,1,30,55,0,1,,,
5794,7676,1297,,Mochila Com Compartimento Para Notebook.,NYLON,CINZA,1XO,1,30,50,0,1,,,
5795,7678,463,,Kit espumante taÃ§a bombom,,Caixa kraft,1x0,1,60,75,3,2,,,
5796,7679,376,,Caneta MetÃ¡lica,METAL E COURINO,PRATA E PRETA,1xo,2,100,11,0,2,,,
5797,7679,463,,LANCHEIRA TERMICA,NYLON,VERDE,1XO,1,50,23,0,2,,,
5798,7679,463,,PETISQUEIRA EM BAMBU,BAMBU E SILICONE,KRAFT E VERDE,1XO,2,200,35,0,2,,,
5799,7679,902,, Fone De Ouvido ,PLASTICO,PRETO,1X1,1,50,15,0,2,,,
5800,7680,463,,Moleskine - 12515 XBZ,,Preta,1x0,1,50,17.42,1,2,,,
5801,7681,463,,lancheira termica,nylon,preta,1xo,1,50,27,3,2,,,
5802,7682,941,,Copo C/ Tampa e Canudo 550ml ,,VERDE LIMÃO,1x0,1,250,8.3,3,2,,,
5803,7683,897,,ECOBAG ALGODÃO,ALGODÃO CRU,CRU,1x0,1,50,12,3,2,,,
5804,7684,1335,,Mochila Para Notebook. Sistema Anti-roubo,nylon,preta e lateral dois 2 tons de cinza,1xo,1,320,115,3,2,,,
5805,7689,210,,Toalha Banho Com Capuz,AlgodÃ£o,Branca,2x0,1,100,21,3,2,,,
5806,7690,862,,Guarda-Chuva ,,VErde,1x1,1,10,45,3,2,,,
5807,7693,42,,Caneca TÃ©rmica 400ml,,Preta,1x0,2,50,20,3,2,,,
5808,7695,874,,BOLSA - TROCADOR,,VErde,1x0,1,150,39.6667,3,2,,,
5809,7696,463,,Montagem Chaveiros,,,SEM,4,2000,1.4,3,2,,,
5810,7697,900,,NECESSAIRE ALGODÃO,ALGODÃO,CRU,1X0,1,150,10.8,3,2,,,
5811,7700,1179,,Garrafa,PLASTICO E METAL,AZUL,LASER,2,100,39,3,2,,,
5812,7700,1149,,Caderno De AnotaÃ§Ãµes,PAPEL,AZUL,1XO,1,100,39,3,2,,,
5813,7701,1372,,Mochila Para Notebook,Nylon,Cinza Chumbo,1x0,2,20,150,3,2,,,
5814,7702,1252,,Caixa De Som Com Microfone,metal e tecido,preta,1xo,2,100,57,3,2,,,
5815,7703,463,,caderno ,papel,400 verde e 470 laranja,2xo,1,870,8.7,3,2,,,
5816,7704,463,,espelho redondo ,plastico,prata,1xo,1,480,3.5,3,2,,,
5817,7706,463,,toalha de microfibra,microfibra,cinza e preto,1xo,1,100,21,1,2,,,
5818,7707,1241,,Mochila Para Notebook Em Nylon,nylon,preta,sem,0,26,100,0,2,,,
5819,7708,1241,,Mochila Para Notebook Em Nylon,nylon,preta,1xo,4,24,120,3,2,,,
5820,7709,463,,Caneca porcelana,Porcelana,BRanca,1x1,1,50,27,3,2,,,
5821,7710,463,,Mochila TÃ©rmica,Nyon,Verde/Bege,1x0,1,100,56,3,2,,,
5822,7711,463,,NECESSAIRE ,COURINO,PRETA,SEM ,0,30,33,0,2,,,
5823,7711,463,,MOUSE,NEOPRENE,PRETA,SEM,0,25,16,0,2,,,
5824,7711,463,,PORTA NOTE,METAL,PRETA,SEM,0,25,40,0,2,,,
5825,7711,463,,NECESSAIRE FEMININA,NYLON,ESTAMPADA,SEM,0,30,22,0,2,,,
5826,7711,463,,LANCHEIRA,NYLON,PRETA,1XO,1,50,27,3,2,,,
5827,7713,463,,kit brinde,diversos,cinza e vermelho,laser e serigrafia,2,100,71,1,2,,,
5828,7714,1317,,Fone Bluetooth Com Case Carregador,plastico,branco,uv,1,80,50,3,2,,,
5829,7715,1028,,Guarda-chuva Cabo Madeira,nylon ,10 verde- 10 preto- 10 laranja-10 branco-10 rosa,1xo,0,50,37,3,2,,,
5830,7715,463,,kit mochila,diversos,cinza e branco,sem,0,25,65,0,2,,,
5831,7717,897,,ECOBAG ALGODÃO,AlgodÃ£o CRU,CRU,1x0,1,50,12,3,2,,,
5832,7719,463,,MONTAGEM ,DIVERSOS,,SEM,0,250,9.5,0,2,,,
5833,7721,463,,Mochila  - 92288 - Spot,Nylon ,Preto Bolso PRETO,1x0,1,160,75,3,2,,,
5834,7722,1317,,Fone Bluetooth Com Case Carregador,plÃ¡stico,BRANCA,1x0,1,50,54,3,2,,,
5835,7725,463,,Mouse Pad,,Branco,4x0,1,3500,3.7,3,1,,,
5836,7725,463,,Chaveiro - 93358,plÃ¡stico,vermelho - 105,1x0,1,1750,3.38,3,1,,,
5837,7725,463,,Chaveiro - 93358,plÃ¡stico,Azul - 114,1x0,1,1750,3.38,3,1,,,
5838,7726,900,,NECESSAIRE ALGODÃO,ALGODÃO CRU,CRU,1X0,1,500,7,1,2,,,
5840,7728,210,,Toalha Banho Com Capuz,,Branco,2x0,1,100,21,3,2,,,
5841,7730,463,,kit promo bolsa caderno lapiseira,diversos,preto e emarelo,1xo,1,65,33.2,0,2,,,
5842,7731,1171,,Garrafa,INOX,BRANCA,1XO,2,30,55,3,2,,,
5843,7732,45,,Caneca Inox 180 Ml,inox,prata/preto,1x0,2,50,16,1,2,,,
5844,7732,806,,Mochila Saco Em Microfibra,Microfibra,PRETO,2x0,1,50,15,3,2,,,
5845,7735,463,,Caderno,,preta,4x4,1,250,16,3,2,,,
5846,7735,463,,Porta Celular,plÃ¡stico,preta,1x0,1,250,4,3,2,,,
5847,7735,897,,ECOBAG ALGODÃO,,cru,4x0,1,250,11,3,2,,,
5848,7737,1231,,BOLSA,NYLON,CINZA,1XO,1,30,110,3,2,,,
5849,7737,1171,,Garrafa,METAL,PRETA,1X0,2,30,49,1,2,,,
5850,7737,1092,,Caneta MetÃ¡lica,METAL,PRETA,1XO,2,200,18,1,2,,,
5851,7738,1018,,Mala De Viagem Bordo,ABS,4 PRETAS E 4 ROSES,SEM,0,8,270,0,2,,,
5852,7738,463,,CAIXA DE SOM NOVA,METAL,15 PRETA E 15 BRANCA,SEM,0,30,55,0,2,,,
5853,7739,102,,Escova Com Espelho,,Prata,1x0,1,100,5.5,3,2,,,
5854,7739,88,,Porta Bolsa DobrÃ¡vel,,,1x0,2,100,13.5,3,2,,,
5855,7740,1028,,Guarda-chuva Cabo Madeira,REf 99100 - Spot,Azul - 104,1x1,1,240,28.9,3,2,,,
5856,7740,463,,Guarda-Chuva Portaria,Ref. 99109 - Spot,PRETO,1x1,1,28,60,1,2,,,
5857,7741,751,,KIT BANHO E ROSTO,toalha,diversas,sem,0,30,55,0,2,,,
5858,7742,463,,Bolsa multiusos. - 92852,TNT,BRANCA,1x0,1,170,9.7,3,2,,,
5859,7742,463,,Bolinha Anti-estresse. - 98054,PU ,BRANCA,1x0,1,170,8.5,3,2,,,
5860,7742,39,,MÃ¡scara Descanso Olhos,Nylon,BRANCO,1x0,1,170,5.5,3,2,,,
5861,7744,1028,,Guarda-chuva Cabo Madeira,nylon,diversas,1x1,1,30,37,3,2,,,
5864,7749,463,,KIT ATLETA PATROCINADO,DIVERSOS,DIVERSOS,1X1,0,70,326,0,2,,,
5865,7751,1303,,Kit Canudos,METAL E ALGODAO,CRUA E PRATA,1XO E LASER NOS CANUDOS,0,200,10,3,2,,,
5866,7751,463,,CARREGADOR DE INDUÃÃO,BAMBU,CRUA,1XO,0,300,66.7,3,2,,,
5867,7751,498,,Conjunto Caneta E Lapiseira Bambu,bambu ,kraft,1xo ,1,500,19,3,2,,,
5868,7752,1183,,Garrafa,aluminio,verde,1x0,1,80,32,3,2,,,
5869,7753,1338,,Copo Para Viagem - 94638 spot,,Det. LARANJA - cor. 128,1x0,1,2000,13.9,1,2,,,
5870,7754,222,,Touca RN,ribana,branca,3xo,1,400,4.8,3,2,,,
5871,7755,463,,kit novos colaboradores,diversos,kraft e crua,1xo,1,100,82,3,2,,,
5872,7756,463,,Caderno ,,Azul Marinho,2x2,1,100,20,3,2,,,
5873,7759,463,,sacola de viagem,nylon,diversas,sem,0,24,70,0,2,,,
5874,7759,463,,bolsa termica,nylon,diversas,sem,0,24,43,0,2,,,
5875,7760,422,,Chaveiro Ferramentas,PLASTICO,PRATA,1XO,1,250,6,3,2,,,
5876,7761,1321,,Mateira Em Couro SintÃ©tico,courino,preto,baixo relevo,0,200,59,0,2,,,
5877,7764,463,,Porta CartÃµes,Couro SintÃ©tico,PRETA,1x0,2,100,16.5,3,2,,,
5878,7765,807,,MOCHILA NYLON,nylon,preta,1xo,1,1050,7,3,2,,,
5879,7766,463,,kit espumante,diversos,kraft,1xo,1,40,50,1,2,,,
5880,7766,1171,,Garrafa,metal,preta,laser,2,150,24,1,2,,,
5881,7766,463,,necessaire,nylon,preta,1xo,1,150,12,3,2,,,
5882,7768,463,,vaporizador ,plastico,transparente com verde,1xo,1,500,3.5,3,2,,,
5883,7769,463,,avental,algodÃ£o,crua,2x0,1,100,13.5,1,2,,,
5884,7770,463,,mochila spot,nylon,preta,1xo,2,50,125,0,2,,,
5885,7771,897,,ECOBAG ALGODÃO,algodÃ£o cru,crua,2xo,1,50,17,3,2,,,
5886,7771,463,,caderno,papel,diversos,4xo,0,100,23,1,1,,,
5887,7772,463,,mochila yins,nylon,preta,1xo,4,22,120,3,2,,,
5888,7773,463,,kit sipat,diversos,kraft e preto,1xo,1,230,20,3,2,,,
5889,7774,1028,,Guarda-chuva Cabo Madeira,nylon,verde,1xo,1,100,31,1,2,,,
5890,7775,463,,power bank,plastico,preto,1xo,0,85,43,1,2,,,
5891,7776,1376,,Caderno Com Capa dura,Papel,azul ,4x4,1,200,19,1,2,,,
5892,7776,463,,Bloco,papel,Azul,4x4,1,500,8,1,2,,,
5893,7777,1376,,Caderno Com Capa duro,papel,Preto,4x4,1,100,22,3,2,,,
5894,7781,463,,mochila,nylon,cinza,1xo,4,48,139,1,2,,,
5895,7782,1323,,Squeeze. AlumÃ­nio -  SPOT 94623,Metal,,1x0,1,1500,19.2,3,2,,,
5896,7782,897,,ECOBAG ALGODÃO, ALGODÃO CRU,CRU,1x0,1,1500,10.7,0,2,,,
5897,7783,210,,Toalha Banho Com Capuz,toalha,branca,2xo,1,100,21,3,2,,,
5898,7784,1028,,Guarda-chuva Cabo Madeira,nylon,verde,sem,0,9,32,0,2,,,
5899,7785,463,,mochila nova yins,nylon,cinza escuro,sem,0,24,110,0,2,,,
5900,7786,807,,MOCHILA NYLON,nylon,PRETO,1x0,1,100,10.9,3,2,,,
5901,7787,1012,,NÃ©cessaire Em Courino,Courino,PRETA,1x0,5,550,28,3,2,,,
5902,7788,59,,Caneca PlÃ¡stica 400ml,PlÃ¡stico,VERDE,1x0,1,200,4.9,3,2,,,
5903,7789,463,,bolsa especial,nylon,verde musgo e preto,bordado,3,30,110,3,1,,,
5904,7065,42,,Caneca TÃ©rmica 400ml,,preta,1x0,2,50,33.9,3,2,,,
5905,7065,1317,,Fone Bluetooth Com Case Carregador,,Branco,1x0,1,50,60,3,2,,,
5906,7065,463,,Frete ,,,sem,4,26,45,3,2,,,
5907,7790,200,,Avental Oxford,oxford,BORDO,1X0,3,15,35,2,2,,,
5908,7791,463,,lancheira preta,nylon,preta,1xo,1,50,29,3,2,,,
5909,7792,1170,,Garrafa,plastico e metal,preto,1xo,1,150,24,3,2,,,
5913,7795,406,,Chaveiro Metal,metal,Prata,1x0,2,35,9,3,2,,,
5914,7795,1048,,Kit Currasco,,PRETO,1x0,2,35,56,3,2,,,
5915,7795,1349,,Sacola Em TNT,TNT,PRETO,1x0,1,35,6,3,2,,,
5916,7796,1028,,Guarda-chuva Cabo Madeira,NYLON,DIVERSAS,1X1,1,30,37,3,2,,,
5917,7797,222,,Touca RN,ribana,branca,3xo,1,400,5.8,3,2,,,
5918,7799,1246,,Necessaire Em Microfibra Com Tela,microfibra,preta,3xo,1,300,12,3,2,,,
5919,7800,463,,mala spot,mala de nylon,preta,sem,0,5,250,0,2,,,
5920,7803,463,,fone bluetooth grande ,plastico e metal,diversos,sem,0,50,70,0,2,,,
5921,7804,463,,roupao,toalha aveludada,azul marinho,bordado 8 cm,3,45,138.44,1,1,,,
5922,7805,463,,pochete,nylon ,laranja,1xo,1,100,15,1,2,,,
5923,7805,463,,fone de ouvido,palstico,branco,1xo,1,100,10,3,2,,,
5924,7805,463,,balde de pipoca,pladtico,verde,1xo,0,200,8,1,2,,,
5925,7807,463,,escova e creme dental,diversos,diversas,sem,0,300,10,0,2,,,
5926,7809,463,,kit chimarrao,diversos,marron e preto,1xo,1,50,150,3,2,,,
5927,7810,463,,chaveiro,courino,verde,1xo,2,100,5,3,2,,,
5928,7811,463,,SQUEEZE,METAL,CINZA CHUMBO,1XO,1,50,23,1,2,,,
5929,7812,463,,MALA,NYLON,PRETA,1XO,1,20,200,1,1,,,
5930,7813,462,,LÃ¡pis Com Borracha,lapis,branco,1xo,1,250,2.5,1,2,,,
5931,7813,463,,caderno,papel,verde e detalhes coloridos,1xo,1,250,10.4,3,2,,,
5932,7813,1317,,Fone Bluetooth Com Case Carregador,plastico,branco,1xo,1,250,35,1,2,,,
5933,7814,463,,MONTAGEM DOS KITS,DIVERSOS,KRAFT,SEM,0,2000,7.5,0,2,,,
5934,7818,1317,,Fone Bluetooth Com Case Carregador,plastico,branca,1x1,0,500,40,1,1,,,
5935,7820,463,,mochila cinza,nylon,cinza,1xo,1,90,159,0,1,,,
5936,7823,1317,,Fone Bluetooth Com Case Carregador,plastico,branco,1xo,1,20,50,1,2,,,
5937,7823,741,,Cooler TÃ©rmico 10 LATAS,plastico,branco,colorida,1,20,65,1,2,,,
5938,7823,1252,,Caixa De Som Com Microfone,plastico,preta,1xo,1,20,52,1,2,,,
5939,7823,807,,MOCHILA NYLON,nylon,preta,1xo,1,30,11,1,2,,,
5940,7824,463,,kit espumante,diversos,preto,1xo,1,7,90,1,2,,,
5941,7825,463,,carregador de bambu,bambu,madeira,1xo,1,50,67,3,2,,,
5942,7825,463,,caixa de som,bambu,madeira,1xo,1,50,75,1,2,,,
5943,7826,463,,toalha de rosto,toalha,branca,1xo,1,300,7,3,2,,,
5944,7827,1018,,Mala De Viagem Bordo,abs,rose e verde,sem,0,20,270,0,2,,,
5945,7828,463,,necessaire  pvc,,,1xo,0,300,4.9,3,2,,,
5947,7832,1028,,Guarda-chuva Cabo Madeira,nylon,preta,1x1,1,750,29,3,2,,,
5948,7833,400,,Chaveiro Metal,Metal,Prata,1x0,2,100,9.5,3,2,,,
5949,7834,463,,GUARDA CHUVA INVERTIDO,NYLON,VERDE,1X1,1,96,50,1,2,,,
5950,7835,897,,ECOBAG ALGODÃO,ALGODÃO,CRU,1x0,1,50,15,3,2,,,
5951,7836,1035,,Moleskine  93425,SintÃ©tico ,Azul - 104 ,1x0,1,80,12,3,2,,,
5952,7837,463,,sacola tnt metalizado,tnt metalizado,300 pretas e 200 douradas,1xo,1,500,10,3,2,,,
5953,7837,894,,CONJUNTO CANETA E LAPISEIRA BAMBU,bambu,bambu,1xo,1,200,21,3,2,,,
5954,7838,463,,copo com canudo,bambu,kraft,1xo,1,550,20,1,2,,,
5955,7839,463,,KIT DIA DA CRIANÃA,DIVERSOS,CRUA,1XO,1,550,20,1,2,,,
5956,7840,463,,kit churrasco,madeira,preto e madeira,1xo,1,10,150,1,2,,,
5957,7840,463,,chaveiro,metal,prata com verde,1xo,2,50,6,1,2,,,
5958,7840,463,,pop socket,plastico,preto,1xo,1,50,5,1,2,,,
5959,7841,1378,,Copo De Viagem Em Fibra De Bambu -  94067 spot,Fibra De Bambu,Detalhe AZUL,1x0,1,300,15,3,2,,,
5960,7842,463,,MONTAGEM DE KITS,DIVERSOS,KRAFT,SEM,0,1500,7.5,0,2,,,
5961,7843,1376,,Caderno Com Espiral,,,4x4,1,100,23,1,2,,,
5962,7844,463,,COPO STANLEY,METAL,BRANCO,1XO,2,200,205,3,1,,,
5963,7844,463,,CONJUNTO DE TALHERES TRAMONTINA,AÃO INOX,INOX,1XO,2,100,95,1,2,,,
5964,7845,463,,KIT VINHO COMPLETO BAMBU,BAMBU,MADEIRA,1XO,2,100,145,3,1,,,
5965,7846,463,,SACOLA,TNT LAMINADO,250 PRETAS E 250 DOURADAS,1XO,1,500,10,3,2,,,
5966,7847,463,,BLOCO COM CANETA,PAPEL,KTAFT,POLICROMIA E 1 COR,1,150,17,3,2,,,
5968,7849,1023,,Squeeze. Com Infusor,plastico,verde,1xo,1,70,26,3,2,,,
5969,7850,808,,BANDANA ALGODÃO,DRY,DIVERSAS,1XO,1,100,6,3,2,,,
5970,7852,463,,espumante ,espumante e sacola,preta,1xo,1,2662,45,3,2,,,
5971,7853,1321,,Mateira Em Couro SintÃ©tico,COURINO,PRETO,GRAVAÃÃO BAIXO RELEVO,0,220,59,1,2,,,
5972,7855,42,,Caneca TÃ©rmica 400ml,Inox/plÃ¡stico,Prata/pretoi,1x0,2,1450,21.8,1,2,,,
5973,7857,463,,kit bem estar,diversos,madeira e branco,1xo no aromatizador,0,900,62,0,2,,,
5974,7858,45,,Caneca Inox 180 Ml,Inox,Prata/preto,1x0,2,150,16,3,2,,,
5975,7852,463,,suco,suco,uva,sem,1,150,23,3,1,,,
5976,7860,1,,Ecobag,ALGODAO CRU,CRUA,2XO,1,3100,10,3,2,,,
5977,7862,463,,sacola termica,tnt,verde,2xo,1,1250,15,3,2,,,
5978,7863,1028,,Guarda-chuva Cabo Madeira,nylon,diversas,1x1,1,40,37,3,2,,,
5979,7867,900,,NECESSAIRE ALGODÃO,ALGODÃO CRU,CRU,1x0,1,500,8,1,2,,,
5980,7868,463,,MOCHILA,NYLON,PRETA,SEM,0,30,110,0,2,,,
5981,7869,463,,Kit especial,,,1x0,0,60,246.66,1,2,,,
5982,7872,463,,KIT PRAIA,TOALHA E TNT,VERDE E PRATA,1XO ,1,1000,38,3,1,,,
5983,7875,463,,KIT BEM ESTAR,DIVERSOS,BAMBU E PRETA,1XO ,2,37,81.08,3,2,,,
5984,7876,1,,Ecobag,ALGODAO CRU,CRUA,2XO,1,200,12,3,2,,,
5985,7878,463,,vinho,,,sem ,0,100,45,0,2,,,
5986,7879,463,,Bolsa TÃ©rmica,,PRETA,1x0,1,470,51,3,1,,,
5987,7880,463,,ESPELHO,PLASTICO,PRATA,1XO,1,130,2.5,3,2,,,
5988,7881,878,, Toalha De Academia,TOALHA,VERDE,1XO,1,55,12,3,2,,,
5989,7882,463,,kit novos colaboradores,diversos,kraft,1xo,1,50,85,3,2,,,
5990,7883,222,,Touca RN,RIBANA,BRANCA,3XO,1,300,5.8,3,2,,,
5991,7885,1463,,Squeeze 660 Ml,alumÃ­nio,Prata,1x0,1,100,23,1,2,,,
5992,7885,1450,,Toalha Para Esporte,microfibra,BRANCA - 106,1x1,1,100,32,1,2,,,
5993,7886,862,,Guarda-Chuva ,NYLON,PRETA,1X1,1,15,57,1,2,,,
5994,7887,1171,,Garrafa,aluminio,preta,1xo,1,100,24,3,2,,,
5995,7888,220,,Babeiro,toalha,branco e verde,2xo,1,50,8,3,2,,,
5996,7889,463,,fones de ouvido,plastico e metal,preta,1xp na caixa,1,160,107,3,2,,,
5997,7890,807,,MOCHILA NYLON - 02079 - XBZ,nylon,PRETA,1x0,1,100,11,3,2,,,
5998,7892,463,,lancheira termica,nylon,preta,1xo,1,50,29,3,2,,,
5999,7893,1518,,Mochila DobrÃ¡vel Em Nylon,Nylon,PRETA - COR 103,1x0,1,270,35,3,2,,,
6000,7894,1510,,Pasta A4 Em Linho SintÃ©tico,Linho SintÃ©tico,AZUL - COR 104,2x0,1,70,110,3,2,,,
6001,7894,1812,,Bolsa Ã  Tiracolo Para Tablet,nylon,cinza - COR 332,1x0,1,30,78,3,2,,,
6002,7894,1551,,Mochila Para Notebook 15.6\'\,Nylon,cinza -COR 133,2x0,1,70,198,3,2,,,
6004,7894,1463,,Squeeze 660 Ml,alumÃ­nio ,PRETA,1x0,1,100,36,3,2,,,
6005,7895,463,,mochila casual estampada,nylon,diversas,sem,0,24,37,0,2,,,
6006,7895,463,,mochila casual lisa,nylon,diversas,sem,0,24,48,0,2,,,
6007,7895,463,,mochila casual glitter,nylon,diversas,sem,0,24,60,0,2,,,
6008,7895,463,,bolsa feminina,nylon,diversas,sem ,0,24,45,0,2,,,
6009,7895,463,,bolsa termica ,nylon,diversas,sem ,0,48,50,0,2,,,
6010,7897,1450,,Toalha Para Esporte,microfibra,branca,1xo,1,1270,18,1,2,,,
6011,7897,1708,,Chaveiro Em Metal E Silicone.,metal,500 azul e 770 preto,1xo,2,1270,7.5,3,2,,,
6012,7900,1397,,Hub USB 2,plÃ¡stico,PRETA,1x0,1,60,25,3,2,,,
6013,7901,884,,COPO ACRÃLICO,ACRILICO,4 CORES,1XO EM BRANCO,1,600,4.2,3,2,,,
6014,7902,1533,,Mochila Em Nylon 600D,,AZUL 104,1x0,1,70,70,3,2,,,
6015,7903,1450,,Toalha Para Esporte,,branca - cor 106,1x1,1,50,28,3,2,,,
6016,7903,1835,,Sacola Tipo Mochila 100% AlgodÃ£o,100% AlgodÃ£o,cru,1x0,1,50,27,3,2,,,
6017,7904,210,,Toalha Banho Com Capuz,toalha,branca,2xo,1,100,21,3,2,,,
6018,7905,463,,COPO PARA VIAGEM,COPO ,PRETO E CINZA,1XO,1,200,12,0,2,,,
6019,7906,463,,TOALHA DE MICROFIBRA ,MICRIFIBRA,BRANCA,1XO,1,50,17,3,2,,,
6020,7906,879,,SQUEEZE FLEX,PLASTICO,VERDE,1XO,1,150,6,1,2,,,
6021,7906,463,,TOALHA MAIS SQUEEZE,PLASTICO E MICROFIBRA,VERDE,1XO,1,50,30,1,2,,,
6022,7908,1376,,Caderno Com Espiral,,AZUL MARINHO,2x2,1,100,23,0,2,,,
6023,7909,1241,,Mochila Para Notebook Em Nylon,nylon,preta,1xo,4,200,115,3,2,,,
6024,7910,1842,,Fone De Ouvido RetrÃ¡til,plÃ¡stico,BRANCO,1x0,1,30,7.9,3,2,,,
6025,7911,463,,kit especial final de ano,diversos,diversas,sem,0,55,370,0,2,,,
6028,7914,741,,Cooler TÃ©rmico 10 LATAS,plastico,branco e prata,policromia,4,75,64,1,2,,,
6029,7915,1241,,Mochila Para Notebook Em Nylon,nylon,preta,1xo,4,2600,80,1,1,,,
6030,7916,972,,Caixinha De Som Bluetooth - 13905 xbz,metÃ¡lico,PRETA,1x1,2,60,67,3,2,,,
6031,7918,463,,jogo de baixelas,inox,prata,laset 1xo,2,100,186,1,2,,,
6032,7920,463,,Capa Protetora,Tnt,AZUL,1x1,1,1270,7.5,3,2,,,
6033,7921,1229,,Bolsa TÃRMICA,,PRETA/CINZA,1X0,1,28,110,3,2,,,
6034,7922,48,,Squeeze PlÃ¡stico Com Gel Para Manter Gelado 600ml,plastico,verde,1xo,1,250,14,3,2,,,
6035,7924,1303,,Kit Canudos,diversos,algodao,1xo,1,15,20,3,2,,,
6036,7924,1452,,Copo Para Viagem,bambu e silicone,kraft e preto,1xo,1,15,30,3,2,,,
6037,7925,463,,MOCHILA ANTI FURTO,NYLON,CINZA E PRETO,1XO ,1,15,150,3,2,,,
6038,7926,1514,,Sacola Tipo Mochila Nylon,Nylon,verde - 119,1x0,1,50,9.8,3,2,,,
6039,7926,1514,,Sacola Tipo Mochila Nylon,Nylon,vermelha - 105,1x0,1,50,9.8,1,2,,,
6040,7927,1445,,Squeeze Em AlumÃ­nio 500 Ml.,ALUMINIO,AZUL CLARO,1XO,1,210,20,3,2,,,
6041,7927,1440,,Copo De Viagem,BAMBU E SILICONE,AZUL CLARO,1XO,1,210,14,1,2,,,
6042,7927,1538,,Mochila Simples Para Notebook 15.6\'\,NYLON,PRETA,1XO,0,70,75,1,2,,,
6043,7927,1,,Ecobag,ALGODAO,CRUA,1XO,1,140,13,1,2,,,
